25 104
1 2 299
1 3 250
2 1 299
2 3 134
2 6 134
2 7 138
3 1 299
3 2 134
3 4 151
3 5 214
3 6 128
4 3 151
4 5 73
5 3 214
5 4 73
5 6 155
5 8 194
5 9 189
6 2 134
6 3 128
6 5 155
6 7 174
6 8 111
7 2 138
7 6 174
7 8 190
7 10 273
8 5 194
8 6 111
8 7 190
8 9 184
8 10 119
9 5 189
9 8 184
9 10 150
9 12 140
10 7 273
10 8 119
10 9 150
10 11 434
10 12 268
10 13 341
10 14 320
11 10 434
11 14 329
11 15 133
12 9 140
12 10 268
12 13 168
12 18 142
12 20 343
13 10 341
13 12 168
13 14 130
13 20 234
14 10 320
14 11 329
14 13 130
14 15 182
14 20 246
14 21 244
15 11 133
15 14 182
15 16 70
15 21 392
16 15 70
16 17 268
16 21 330
16 22 287
17 16 268
18 12 142
18 19 297
18 20 405
19 18 297
19 20 175
19 23 185
20 12 343
20 13 234
20 14 246
20 18 405
20 19 175
20 21 170
20 23 144
21 14 244
21 15 392
21 16 330
21 20 170
21 22 86
21 23 223
21 24 266
22 16 287
22 21 86
22 24 230
23 19 185
23 20 144
23 21 223
23 24 296
23 25 330
24 21 266
24 22 230
24 23 296
24 25 166
25 23 330
25 24 166
